n_val	Epoch	Time(sec)	Loss_train	AUC_dev	AUC_test	Precision_test	Recall_test
4	13	3642.193842	35.70829044	0.9776114	0.983615687	0.921717172	0.955497382
4	14	3914.330678	22.33762858	0.977410502	0.983814328	0.933161954	0.95026178
4	15	4190.580586	8.469320157	0.977753016	0.983491536	0.917085427	0.955497382
4	16	4467.520787	3.431623103	0.977415991	0.982689879	0.924050633	0.955497382
4	17	4750.261007	3.688855153	0.977195332	0.982122334	0.917085427	0.955497382
4	18	5033.527794	2.105272057	0.97694174	0.982267768	0.919395466	0.955497382
4	19	5315.739313	1.555003667	0.97648176	0.981231998	0.919395466	0.955497382
4	20	5598.148954	1.387330065	0.976544335	0.981249734	0.919395466	0.955497382
0.990855432	0.960629921	0.958115183					
					
